Timestep,Region,acei
JPK,2622,0.1
2622,JPK,0.1
JPK,2623,0.1
2623,JPK,0.1
JPK,2624,0.1
2624,JPK,0.1
JPK,2625,0.1
2625,JPK,0.1
JPK,2626,0.1
2626,JPK,0.1
JPK,2627,0.1
2627,JPK,0.1
JPK,2628,0.1
2628,JPK,0.1
JPK,2629,0.1
2629,JPK,0.1
JPK,2630,0.1
2630,JPK,0.1
JPK,2631,0.1
2631,JPK,0.1
JPK,2632,0.1
2632,JPK,0.1
JPK,2633,0.1
2633,JPK,0.1
JPK,2634,0.1
2634,JPK,0.1
JPK,2635,0.1
2635,JPK,0.1
JPK,2636,0.1
2636,JPK,0.1
JPK,2637,0.1
2637,JPK,0.1
JPK,2638,0.1
2638,JPK,0.1
JPK,2639,0.1
2639,JPK,0.1
JPK,2640,0.1
2640,JPK,0.1
JPK,2641,0.1
2641,JPK,0.1
JPK,2642,0.1
2642,JPK,0.1
JPK,2643,0.1
2643,JPK,0.1
JPK,2644,0.1
2644,JPK,0.1
JPK,2645,0.1
2645,JPK,0.1
JPK,2646,0.1
2646,JPK,0.1
JPK,2647,0.1
2647,JPK,0.1
JPK,2648,0.1
2648,JPK,0.1
JPK,2649,0.1
2649,JPK,0.1
JPK,2650,0.1
2650,JPK,0.1
JPK,2651,0.1
2651,JPK,0.1
JPK,2652,0.1
2652,JPK,0.1
JPK,2653,0.1
2653,JPK,0.1
JPK,2654,0.1
2654,JPK,0.1
JPK,2655,0.1
2655,JPK,0.1
JPK,2656,0.1
2656,JPK,0.1
JPK,2657,0.1
2657,JPK,0.1
JPK,2658,0.1
2658,JPK,0.1
JPK,2659,0.1
2659,JPK,0.1
JPK,2660,0.1
2660,JPK,0.1
JPK,2661,0.1
2661,JPK,0.1
JPK,2662,0.1
2662,JPK,0.1
JPK,2663,0.1
2663,JPK,0.1
JPK,2664,0.1
2664,JPK,0.1
JPK,2665,0.1
2665,JPK,0.1
JPK,2666,0.1
2666,JPK,0.1
JPK,2667,0.1
2667,JPK,0.1
JPK,2668,0.1
2668,JPK,0.1
JPK,2669,0.1
2669,JPK,0.1
JPK,2670,0.1
2670,JPK,0.1
JPK,2671,0.1
2671,JPK,0.1
JPK,2672,0.1
2672,JPK,0.1
JPK,2673,0.1
2673,JPK,0.1
JPK,2674,0.1
2674,JPK,0.1
JPK,2675,0.1
2675,JPK,0.1
JPK,2676,0.1
2676,JPK,0.1
JPK,2677,0.1
2677,JPK,0.1
JPK,2678,0.1
2678,JPK,0.1
JPK,2679,0.1
2679,JPK,0.1
JPK,2680,0.1
2680,JPK,0.1
JPK,2681,0.1
2681,JPK,0.1
JPK,2682,0.1
2682,JPK,0.1
JPK,2683,0.1
2683,JPK,0.1
JPK,2684,0.1
2684,JPK,0.1
JPK,2685,0.1
2685,JPK,0.1
JPK,2686,0.1
2686,JPK,0.1
JPK,2687,0.1
2687,JPK,0.1
JPK,2688,0.1
2688,JPK,0.1
JPK,2689,0.1
2689,JPK,0.1
JPK,2690,0.1
2690,JPK,0.1
JPK,2691,0.1
2691,JPK,0.1
JPK,2692,0.1
2692,JPK,0.1
JPK,2693,0.1
2693,JPK,0.1
JPK,2694,0.1
2694,JPK,0.1
JPK,2695,0.1
2695,JPK,0.1
JPK,2696,0.1
2696,JPK,0.1
JPK,2697,0.1
2697,JPK,0.1
JPK,2698,0.1
2698,JPK,0.1
JPK,2699,0.1
2699,JPK,0.1
JPK,2700,0.1
2700,JPK,0.1
JPK,2701,0.1
2701,JPK,0.1
JPK,2702,0.1
2702,JPK,0.1
JPK,2703,0.1
2703,JPK,0.1
JPK,2704,0.1
2704,JPK,0.1
JPK,2705,0.1
2705,JPK,0.1
JPK,2706,0.1
2706,JPK,0.1
JPK,2707,0.1
2707,JPK,0.1
JPK,2708,0.1
2708,JPK,0.1
JPK,2709,0.1
2709,JPK,0.1
JPK,2710,0.1
2710,JPK,0.1
JPK,2711,0.1
2711,JPK,0.1
JPK,2712,0.1
2712,JPK,0.1
JPK,2713,0.1
2713,JPK,0.1
JPK,2714,0.1
2714,JPK,0.1
JPK,2715,0.1
2715,JPK,0.1
JPK,2716,0.1
2716,JPK,0.1
JPK,2717,0.1
2717,JPK,0.1
JPK,2718,0.1
2718,JPK,0.1
JPK,2719,0.1
2719,JPK,0.1
JPK,2720,0.1
2720,JPK,0.1
JPK,2721,0.1
2721,JPK,0.1
JPK,2722,0.1
2722,JPK,0.1
JPK,2723,0.1
2723,JPK,0.1
JPK,2724,0.1
2724,JPK,0.1
JPK,2725,0.1
2725,JPK,0.1
JPK,2726,0.1
2726,JPK,0.1
JPK,2727,0.1
2727,JPK,0.1
JPK,2728,0.1
2728,JPK,0.1
JPK,2729,0.1
2729,JPK,0.1
JPK,2730,0.1
2730,JPK,0.1
JPK,2731,0.1
2731,JPK,0.1
JPK,2732,0.1
2732,JPK,0.1
JPK,2733,0.1
2733,JPK,0.1
JPK,2734,0.1
2734,JPK,0.1
JPK,2735,0.1
2735,JPK,0.1
JPK,2736,0.1
2736,JPK,0.1
JPK,2737,0.1
2737,JPK,0.1
JPK,2738,0.1
2738,JPK,0.1
JPK,2739,0.1
2739,JPK,0.1
JPK,2740,0.1
2740,JPK,0.1
JPK,2741,0.1
2741,JPK,0.1
JPK,2742,0.1
2742,JPK,0.1
JPK,2743,0.1
2743,JPK,0.1
JPK,2744,0.1
2744,JPK,0.1
JPK,2745,0.1
2745,JPK,0.1
JPK,2746,0.1
2746,JPK,0.1
JPK,2747,0.1
2747,JPK,0.1
JPK,2748,0.1
2748,JPK,0.1
JPK,2749,0.1
2749,JPK,0.1
JPK,2750,0.1
2750,JPK,0.1
JPK,2751,0.1
2751,JPK,0.1
JPK,2752,0.1
2752,JPK,0.1
JPK,2753,0.1
2753,JPK,0.1
JPK,2754,0.1
2754,JPK,0.1
JPK,2755,0.1
2755,JPK,0.1
JPK,2756,0.1
2756,JPK,0.1
JPK,2757,0.1
2757,JPK,0.1
JPK,2758,0.1
2758,JPK,0.1
JPK,2759,0.1
2759,JPK,0.1
JPK,2760,0.1
2760,JPK,0.1
JPK,2761,0.1
2761,JPK,0.1
JPK,2762,0.1
2762,JPK,0.1
JPK,2763,0.1
2763,JPK,0.1
JPK,2764,0.1
2764,JPK,0.1
JPK,2765,0.1
2765,JPK,0.1
JPK,2766,0.1
2766,JPK,0.1
JPK,2767,0.1
2767,JPK,0.1
JPK,2768,0.1
2768,JPK,0.1
JPK,2769,0.1
2769,JPK,0.1
JPK,2770,0.1
2770,JPK,0.1
JPK,2771,0.1
2771,JPK,0.1
JPK,2772,0.1
2772,JPK,0.1
JPK,2773,0.1
2773,JPK,0.1
JPK,2774,0.1
2774,JPK,0.1
JPK,2775,0.1
2775,JPK,0.1
JPK,2776,0.1
2776,JPK,0.1
JPK,2777,0.1
2777,JPK,0.1
JPK,2778,0.1
2778,JPK,0.1
JPK,2779,0.1
2779,JPK,0.1
JPK,2780,0.1
2780,JPK,0.1
JPK,2781,0.1
2781,JPK,0.1
JPK,2782,0.1
2782,JPK,0.1
JPK,2783,0.1
2783,JPK,0.1
JPK,2784,0.1
2784,JPK,0.1
JPK,2785,0.1
2785,JPK,0.1
JPK,2786,0.1
2786,JPK,0.1
JPK,2787,0.1
2787,JPK,0.1
JPK,2788,0.1
2788,JPK,0.1
JPK,2789,0.1
2789,JPK,0.1
JPK,2790,0.1
2790,JPK,0.1
JPK,2791,0.1
2791,JPK,0.1
JPK,2792,0.1
2792,JPK,0.1
JPK,2793,0.1
2793,JPK,0.1
JPK,2794,0.1
2794,JPK,0.1
JPK,2795,0.1
2795,JPK,0.1
JPK,2796,0.1
2796,JPK,0.1
JPK,2797,0.1
2797,JPK,0.1
JPK,2798,0.1
2798,JPK,0.1
JPK,2799,0.1
2799,JPK,0.1
JPK,2800,0.1
2800,JPK,0.1
JPK,2801,0.1
2801,JPK,0.1
JPK,2802,0.1
2802,JPK,0.1
JPK,2803,0.1
2803,JPK,0.1
JPK,2804,0.1
2804,JPK,0.1
JPK,2805,0.1
2805,JPK,0.1
JPK,2806,0.1
2806,JPK,0.1
JPK,2807,0.1
2807,JPK,0.1
JPK,2808,0.1
2808,JPK,0.1
JPK,2809,0.1
2809,JPK,0.1
JPK,2810,0.1
2810,JPK,0.1
JPK,2811,0.1
2811,JPK,0.1
JPK,2812,0.1
2812,JPK,0.1
JPK,2813,0.1
2813,JPK,0.1
JPK,2814,0.1
2814,JPK,0.1
JPK,2815,0.1
2815,JPK,0.1
JPK,2816,0.1
2816,JPK,0.1
JPK,2817,0.1
2817,JPK,0.1
JPK,2818,0.1
2818,JPK,0.1
JPK,2819,0.1
2819,JPK,0.1
JPK,2820,0.1
2820,JPK,0.1
JPK,2821,0.1
2821,JPK,0.1
JPK,2822,0.1
2822,JPK,0.1
JPK,2823,0.1
2823,JPK,0.1
JPK,2824,0.1
2824,JPK,0.1
JPK,2825,0.1
2825,JPK,0.1
JPK,2826,0.1
2826,JPK,0.1
JPK,2827,0.1
2827,JPK,0.1
JPK,2828,0.1
2828,JPK,0.1
JPK,2829,0.1
2829,JPK,0.1
JPK,2830,0.1
2830,JPK,0.1
JPK,2831,0.1
2831,JPK,0.1
JPK,2832,0.1
2832,JPK,0.1
JPK,2833,0.1
2833,JPK,0.1
JPK,2834,0.1
2834,JPK,0.1
JPK,2835,0.1
2835,JPK,0.1
JPK,2836,0.1
2836,JPK,0.1
JPK,2837,0.1
2837,JPK,0.1
JPK,2838,0.1
2838,JPK,0.1
JPK,2839,0.1
2839,JPK,0.1
JPK,2840,0.1
2840,JPK,0.1
JPK,2841,0.1
2841,JPK,0.1
JPK,2842,0.1
2842,JPK,0.1
JPK,2843,0.1
2843,JPK,0.1
JPK,2844,0.1
2844,JPK,0.1
JPK,2845,0.1
2845,JPK,0.1
JPK,2846,0.1
2846,JPK,0.1
JPK,2847,0.1
2847,JPK,0.1
JPK,2848,0.1
2848,JPK,0.1
JPK,2849,0.1
2849,JPK,0.1
JPK,2850,0.1
2850,JPK,0.1
JPK,2851,0.1
2851,JPK,0.1
JPK,2852,0.1
2852,JPK,0.1
JPK,2853,0.1
2853,JPK,0.1
JPK,2854,0.1
2854,JPK,0.1
JPK,2855,0.1
2855,JPK,0.1
JPK,2856,0.1
2856,JPK,0.1
JPK,2857,0.1
2857,JPK,0.1
JPK,2858,0.1
2858,JPK,0.1
JPK,2859,0.1
2859,JPK,0.1
JPK,2860,0.1
2860,JPK,0.1
JPK,2861,0.1
2861,JPK,0.1
JPK,2862,0.1
2862,JPK,0.1
JPK,2863,0.1
2863,JPK,0.1
JPK,2864,0.1
2864,JPK,0.1
JPK,2865,0.1
2865,JPK,0.1
JPK,2866,0.1
2866,JPK,0.1
JPK,2867,0.1
2867,JPK,0.1
JPK,2868,0.1
2868,JPK,0.1
JPK,2869,0.1
2869,JPK,0.1
JPK,2870,0.1
2870,JPK,0.1
JPK,2871,0.1
2871,JPK,0.1
JPK,2872,0.1
2872,JPK,0.1
JPK,2873,0.1
2873,JPK,0.1
JPK,2874,0.1
2874,JPK,0.1
JPK,2875,0.1
2875,JPK,0.1
JPK,2876,0.1
2876,JPK,0.1
JPK,2877,0.1
2877,JPK,0.1
JPK,2878,0.1
2878,JPK,0.1
JPK,2879,0.1
2879,JPK,0.1
JPK,2880,0.1
2880,JPK,0.1
JPK,2881,0.1
2881,JPK,0.1
JPK,2882,0.1
2882,JPK,0.1
JPK,2883,0.1
2883,JPK,0.1
JPK,2884,0.1
2884,JPK,0.1
JPK,2885,0.1
2885,JPK,0.1
JPK,2886,0.1
2886,JPK,0.1
JPK,2887,0.1
2887,JPK,0.1
JPK,2888,0.1
2888,JPK,0.1
JPK,2889,0.1
2889,JPK,0.1
JPK,2890,0.1
2890,JPK,0.1
JPK,2891,0.1
2891,JPK,0.1
JPK,2892,0.1
2892,JPK,0.1
JPK,2893,0.1
2893,JPK,0.1
JPK,2894,0.1
2894,JPK,0.1
JPK,2895,0.1
2895,JPK,0.1
JPK,2896,0.1
2896,JPK,0.1
JPK,2897,0.1
2897,JPK,0.1
JPK,2898,0.1
2898,JPK,0.1
JPK,2899,0.1
2899,JPK,0.1
JPK,2900,0.1
2900,JPK,0.1
JPK,2901,0.1
2901,JPK,0.1
JPK,2902,0.1
2902,JPK,0.1
JPK,2903,0.1
2903,JPK,0.1
JPK,2904,0.1
2904,JPK,0.1
JPK,2905,0.1
2905,JPK,0.1
JPK,2906,0.1
2906,JPK,0.1
JPK,2907,0.1
2907,JPK,0.1
JPK,2908,0.1
2908,JPK,0.1
JPK,2909,0.1
2909,JPK,0.1
JPK,2910,0.1
2910,JPK,0.1
JPK,2911,0.1
2911,JPK,0.1
JPK,2912,0.1
2912,JPK,0.1
JPK,2913,0.1
2913,JPK,0.1
JPK,2914,0.1
2914,JPK,0.1
JPK,2915,0.1
2915,JPK,0.1
JPK,2916,0.1
2916,JPK,0.1
JPK,2917,0.1
2917,JPK,0.1
JPK,2918,0.1
2918,JPK,0.1
JPK,2919,0.1
2919,JPK,0.1
JPK,2920,0.1
2920,JPK,0.1
JPK,2921,0.1
2921,JPK,0.1
JPK,2922,0.1
2922,JPK,0.1
JPK,2923,0.1
2923,JPK,0.1
JPK,2924,0.1
2924,JPK,0.1
JPK,2925,0.1
2925,JPK,0.1
JPK,2926,0.1
2926,JPK,0.1
JPK,2927,0.1
2927,JPK,0.1
JPK,2928,0.1
2928,JPK,0.1
JPK,2929,0.1
2929,JPK,0.1
JPK,2930,0.1
2930,JPK,0.1
JPK,2931,0.1
2931,JPK,0.1
JPK,2932,0.1
2932,JPK,0.1
JPK,2933,0.1
2933,JPK,0.1
JPK,2934,0.1
2934,JPK,0.1
JPK,2935,0.1
2935,JPK,0.1
JPK,2936,0.1
2936,JPK,0.1
JPK,2937,0.1
2937,JPK,0.1
JPK,2938,0.1
2938,JPK,0.1
JPK,2939,0.1
2939,JPK,0.1
JPK,2940,0.1
2940,JPK,0.1
JPK,2941,0.1
2941,JPK,0.1
JPK,2942,0.1
2942,JPK,0.1
JPK,2943,0.1
2943,JPK,0.1
JPK,2944,0.1
2944,JPK,0.1
JPK,2945,0.1
2945,JPK,0.1
JPK,2946,0.1
2946,JPK,0.1
JPK,2947,0.1
2947,JPK,0.1
JPK,2948,0.1
2948,JPK,0.1
JPK,2949,0.1
2949,JPK,0.1
JPK,2950,0.1
2950,JPK,0.1
JPK,2951,0.1
2951,JPK,0.1
JPK,2952,0.1
2952,JPK,0.1
JPK,2953,0.1
2953,JPK,0.1
JPK,2954,0.1
2954,JPK,0.1
JPK,2955,0.1
2955,JPK,0.1
JPK,2956,0.1
2956,JPK,0.1
JPK,2957,0.1
2957,JPK,0.1
JPK,2958,0.1
2958,JPK,0.1
JPK,2959,0.1
2959,JPK,0.1
JPK,2960,0.1
2960,JPK,0.1
JPK,2961,0.1
2961,JPK,0.1
JPK,2962,0.1
2962,JPK,0.1
JPK,2963,0.1
2963,JPK,0.1
JPK,2964,0.1
2964,JPK,0.1
JPK,2965,0.1
2965,JPK,0.1
JPK,2966,0.1
2966,JPK,0.1
JPK,2967,0.1
2967,JPK,0.1
JPK,2968,0.1
2968,JPK,0.1
JPK,2969,0.1
2969,JPK,0.1
JPK,2970,0.1
2970,JPK,0.1
JPK,2971,0.1
2971,JPK,0.1
JPK,2972,0.1
2972,JPK,0.1
JPK,2973,0.1
2973,JPK,0.1
JPK,2974,0.1
2974,JPK,0.1
JPK,2975,0.1
2975,JPK,0.1
JPK,2976,0.1
2976,JPK,0.1
JPK,2977,0.1
2977,JPK,0.1
JPK,2978,0.1
2978,JPK,0.1
JPK,2979,0.1
2979,JPK,0.1
JPK,2980,0.1
2980,JPK,0.1
JPK,2981,0.1
2981,JPK,0.1
JPK,2982,0.1
2982,JPK,0.1
JPK,2983,0.1
2983,JPK,0.1
JPK,2984,0.1
2984,JPK,0.1
JPK,2985,0.1
2985,JPK,0.1
JPK,2986,0.1
2986,JPK,0.1
JPK,2987,0.1
2987,JPK,0.1
JPK,2988,0.1
2988,JPK,0.1
JPK,2989,0.1
2989,JPK,0.1
JPK,2990,0.1
2990,JPK,0.1
JPK,2991,0.1
2991,JPK,0.1
JPK,2992,0.1
2992,JPK,0.1
JPK,2993,0.1
2993,JPK,0.1
JPK,2994,0.1
2994,JPK,0.1
JPK,2995,0.1
2995,JPK,0.1
JPK,2996,0.1
2996,JPK,0.1
JPK,2997,0.1
2997,JPK,0.1
JPK,2998,0.1
2998,JPK,0.1
JPK,2999,0.1
2999,JPK,0.1
JPK,3000,0.1
3000,JPK,0.1
ANZ,1950,0.171
1950,ANZ,0.171
ANZ,1951,0.171
1951,ANZ,0.171
ANZ,1952,0.171
1952,ANZ,0.171
ANZ,1953,0.171
1953,ANZ,0.171
ANZ,1954,0.171
1954,ANZ,0.171
ANZ,1955,0.171
1955,ANZ,0.171
ANZ,1956,0.171
1956,ANZ,0.171
ANZ,1957,0.171
1957,ANZ,0.171
ANZ,1958,0.171
1958,ANZ,0.171
ANZ,1959,0.171
1959,ANZ,0.171
ANZ,1960,0.397
1960,ANZ,0.397
ANZ,1961,0.397
1961,ANZ,0.397
ANZ,1962,0.397
1962,ANZ,0.397
ANZ,1963,0.397
1963,ANZ,0.397
ANZ,1964,0.397
1964,ANZ,0.397
ANZ,1965,0.397
1965,ANZ,0.397
ANZ,1966,0.397
1966,ANZ,0.397
ANZ,1967,0.397
1967,ANZ,0.397
ANZ,1968,0.397
1968,ANZ,0.397
ANZ,1969,0.397
1969,ANZ,0.397
ANZ,1970,-0.004
1970,ANZ,-0.004
ANZ,1971,-0.004
1971,ANZ,-0.004
ANZ,1972,-0.004
1972,ANZ,-0.004
ANZ,1973,-0.004
1973,ANZ,-0.004
ANZ,1974,-0.004
1974,ANZ,-0.004
ANZ,1975,-0.004
1975,ANZ,-0.004
ANZ,1976,-0.004
1976,ANZ,-0.004
ANZ,1977,-0.004
1977,ANZ,-0.004
ANZ,1978,-0.004
1978,ANZ,-0.004
ANZ,1979,-0.004
1979,ANZ,-0.004
ANZ,1980,-1.215
1980,ANZ,-1.215
ANZ,1981,-1.215
1981,ANZ,-1.215
ANZ,1982,-1.215
1982,ANZ,-1.215
ANZ,1983,-1.215
1983,ANZ,-1.215
ANZ,1984,-1.215
1984,ANZ,-1.215
ANZ,1985,-1.215
1985,ANZ,-1.215
ANZ,1986,-1.215
1986,ANZ,-1.215
ANZ,1987,-1.215
1987,ANZ,-1.215
ANZ,1988,-1.215
1988,ANZ,-1.215
ANZ,1989,-1.215
1989,ANZ,-1.215
ANZ,1990,0.126
1990,ANZ,0.126
ANZ,1991,0.126
1991,ANZ,0.126
ANZ,1992,0.126
1992,ANZ,0.126
ANZ,1993,0.126
1993,ANZ,0.126
ANZ,1994,0.126
1994,ANZ,0.126
ANZ,1995,0.18
1995,ANZ,0.18
ANZ,1996,0.235
1996,ANZ,0.235
ANZ,1997,0.29
1997,ANZ,0.29
ANZ,1998,0.344
1998,ANZ,0.344
ANZ,1999,0.399
1999,ANZ,0.399
ANZ,2000,0.454
2000,ANZ,0.454
ANZ,2001,0.508
2001,ANZ,0.508
ANZ,2002,0.563
2002,ANZ,0.563
ANZ,2003,0.617
2003,ANZ,0.617
ANZ,2004,0.672
2004,ANZ,0.672
ANZ,2005,0.727
2005,ANZ,0.727
ANZ,2006,0.781
2006,ANZ,0.781
ANZ,2007,0.836
2007,ANZ,0.836
ANZ,2008,0.891
2008,ANZ,0.891
ANZ,2009,0.945
2009,ANZ,0.945
ANZ,2010,1
2010,ANZ,1
ANZ,2011,0.958
2011,ANZ,0.958
ANZ,2012,0.917
2012,ANZ,0.917
ANZ,2013,0.875
2013,ANZ,0.875
ANZ,2014,0.833
2014,ANZ,0.833
ANZ,2015,0.792
2015,ANZ,0.792
ANZ,2016,0.75
2016,ANZ,0.75
ANZ,2017,0.708
2017,ANZ,0.708
ANZ,2018,0.667
2018,ANZ,0.667
ANZ,2019,0.625
2019,ANZ,0.625
ANZ,2020,0.583
2020,ANZ,0.583
ANZ,2021,0.542
2021,ANZ,0.542
ANZ,2022,0.5
2022,ANZ,0.5
ANZ,2023,0.458
2023,ANZ,0.458
ANZ,2024,0.417
2024,ANZ,0.417
ANZ,2025,0.375
2025,ANZ,0.375
ANZ,2026,0.35
2026,ANZ,0.35
ANZ,2027,0.325
2027,ANZ,0.325
ANZ,2028,0.3
2028,ANZ,0.3
ANZ,2029,0.275
2029,ANZ,0.275
ANZ,2030,0.25
2030,ANZ,0.25
ANZ,2031,0.2425
2031,ANZ,0.2425
ANZ,2032,0.235
2032,ANZ,0.235
ANZ,2033,0.2275
2033,ANZ,0.2275
ANZ,2034,0.22
2034,ANZ,0.22
ANZ,2035,0.2125
2035,ANZ,0.2125
ANZ,2036,0.205
2036,ANZ,0.205
ANZ,2037,0.1975
2037,ANZ,0.1975
ANZ,2038,0.19
2038,ANZ,0.19
ANZ,2039,0.1825
2039,ANZ,0.1825
ANZ,2040,0.175
2040,ANZ,0.175
ANZ,2041,0.1675
2041,ANZ,0.1675
ANZ,2042,0.16
2042,ANZ,0.16
ANZ,2043,0.1525
2043,ANZ,0.1525
ANZ,2044,0.145
2044,ANZ,0.145
ANZ,2045,0.1375
2045,ANZ,0.1375
ANZ,2046,0.13
2046,ANZ,0.13
ANZ,2047,0.1225
2047,ANZ,0.1225
ANZ,2048,0.115
2048,ANZ,0.115
ANZ,2049,0.1075
2049,ANZ,0.1075
ANZ,2050,0.1
2050,ANZ,0.1
ANZ,2051,0.102
2051,ANZ,0.102
ANZ,2052,0.104
2052,ANZ,0.104
ANZ,2053,0.106
2053,ANZ,0.106
ANZ,2054,0.108
2054,ANZ,0.108
ANZ,2055,0.11
2055,ANZ,0.11
ANZ,2056,0.112
2056,ANZ,0.112
ANZ,2057,0.114
2057,ANZ,0.114
ANZ,2058,0.116
2058,ANZ,0.116
ANZ,2059,0.118
2059,ANZ,0.118
ANZ,2060,0.12
2060,ANZ,0.12
ANZ,2061,0.122
2061,ANZ,0.122
ANZ,2062,0.124
2062,ANZ,0.124
ANZ,2063,0.126
2063,ANZ,0.126
ANZ,2064,0.128
2064,ANZ,0.128
ANZ,2065,0.13
2065,ANZ,0.13
ANZ,2066,0.132
2066,ANZ,0.132
ANZ,2067,0.134
2067,ANZ,0.134
ANZ,2068,0.136
2068,ANZ,0.136
ANZ,2069,0.138
2069,ANZ,0.138
ANZ,2070,0.14
2070,ANZ,0.14
ANZ,2071,0.142
2071,ANZ,0.142
ANZ,2072,0.144
2072,ANZ,0.144
ANZ,2073,0.146
2073,ANZ,0.146
ANZ,2074,0.148
2074,ANZ,0.148
ANZ,2075,0.15
2075,ANZ,0.15
ANZ,2076,0.152
2076,ANZ,0.152
ANZ,2077,0.154
2077,ANZ,0.154
ANZ,2078,0.156
2078,ANZ,0.156
ANZ,2079,0.158
2079,ANZ,0.158
ANZ,2080,0.16
2080,ANZ,0.16
ANZ,2081,0.162
2081,ANZ,0.162
ANZ,2082,0.164
2082,ANZ,0.164
ANZ,2083,0.166
2083,ANZ,0.166
ANZ,2084,0.168
2084,ANZ,0.168
ANZ,2085,0.17
2085,ANZ,0.17
ANZ,2086,0.172
2086,ANZ,0.172
ANZ,2087,0.174
2087,ANZ,0.174
ANZ,2088,0.176
2088,ANZ,0.176
ANZ,2089,0.178
2089,ANZ,0.178
ANZ,2090,0.18
2090,ANZ,0.18
ANZ,2091,0.182
2091,ANZ,0.182
ANZ,2092,0.184
2092,ANZ,0.184
ANZ,2093,0.186
2093,ANZ,0.186
ANZ,2094,0.188
2094,ANZ,0.188
ANZ,2095,0.19
2095,ANZ,0.19
ANZ,2096,0.192
2096,ANZ,0.192
ANZ,2097,0.194
2097,ANZ,0.194
ANZ,2098,0.196
2098,ANZ,0.196
ANZ,2099,0.198
2099,ANZ,0.198
ANZ,2100,0.2
2100,ANZ,0.2
ANZ,2101,0.238
2101,ANZ,0.238
ANZ,2102,0.276
2102,ANZ,0.276
ANZ,2103,0.314
2103,ANZ,0.314
ANZ,2104,0.352
2104,ANZ,0.352
ANZ,2105,0.39
2105,ANZ,0.39
ANZ,2106,0.428
2106,ANZ,0.428
ANZ,2107,0.466
2107,ANZ,0.466
ANZ,2108,0.504
2108,ANZ,0.504
ANZ,2109,0.542
2109,ANZ,0.542
ANZ,2110,0.58
2110,ANZ,0.58
ANZ,2111,0.618
2111,ANZ,0.618
ANZ,2112,0.656
2112,ANZ,0.656
ANZ,2113,0.694
2113,ANZ,0.694
ANZ,2114,0.732
2114,ANZ,0.732
ANZ,2115,0.77
2115,ANZ,0.77
ANZ,2116,0.808
2116,ANZ,0.808
ANZ,2117,0.846
2117,ANZ,0.846
ANZ,2118,0.884
2118,ANZ,0.884
ANZ,2119,0.922
2119,ANZ,0.922
ANZ,2120,0.96
2120,ANZ,0.96
ANZ,2121,0.998
2121,ANZ,0.998
ANZ,2122,1.036
2122,ANZ,1.036
ANZ,2123,1.074
2123,ANZ,1.074
ANZ,2124,1.112
2124,ANZ,1.112
ANZ,2125,1.15
2125,ANZ,1.15
ANZ,2126,1.188
2126,ANZ,1.188
ANZ,2127,1.226
2127,ANZ,1.226
ANZ,2128,1.264
2128,ANZ,1.264
ANZ,2129,1.302
2129,ANZ,1.302
ANZ,2130,1.34
2130,ANZ,1.34
ANZ,2131,1.378
2131,ANZ,1.378
ANZ,2132,1.416
2132,ANZ,1.416
ANZ,2133,1.454
2133,ANZ,1.454
ANZ,2134,1.492
2134,ANZ,1.492
ANZ,2135,1.53
2135,ANZ,1.53
ANZ,2136,1.568
2136,ANZ,1.568
ANZ,2137,1.606
2137,ANZ,1.606
ANZ,2138,1.644
2138,ANZ,1.644
ANZ,2139,1.682
2139,ANZ,1.682
ANZ,2140,1.72
2140,ANZ,1.72
ANZ,2141,1.758
2141,ANZ,1.758
ANZ,2142,1.796
2142,ANZ,1.796
ANZ,2143,1.834
2143,ANZ,1.834
ANZ,2144,1.872
2144,ANZ,1.872
ANZ,2145,1.91
2145,ANZ,1.91
ANZ,2146,1.948
2146,ANZ,1.948
ANZ,2147,1.986
2147,ANZ,1.986
ANZ,2148,2.024
2148,ANZ,2.024
ANZ,2149,2.062
2149,ANZ,2.062
ANZ,2150,2.1
2150,ANZ,2.1
ANZ,2151,2.138
2151,ANZ,2.138
ANZ,2152,2.176
2152,ANZ,2.176
ANZ,2153,2.214
2153,ANZ,2.214
ANZ,2154,2.252
2154,ANZ,2.252
ANZ,2155,2.29
2155,ANZ,2.29
ANZ,2156,2.328
2156,ANZ,2.328
ANZ,2157,2.366
2157,ANZ,2.366
ANZ,2158,2.404
2158,ANZ,2.404
ANZ,2159,2.442
2159,ANZ,2.442
ANZ,2160,2.48
2160,ANZ,2.48
ANZ,2161,2.518
2161,ANZ,2.518
ANZ,2162,2.556
2162,ANZ,2.556
ANZ,2163,2.594
2163,ANZ,2.594
ANZ,2164,2.632
2164,ANZ,2.632
ANZ,2165,2.67
2165,ANZ,2.67
ANZ,2166,2.708
2166,ANZ,2.708
ANZ,2167,2.746
2167,ANZ,2.746
ANZ,2168,2.784
2168,ANZ,2.784
ANZ,2169,2.822
2169,ANZ,2.822
ANZ,2170,2.86
2170,ANZ,2.86
ANZ,2171,2.898
2171,ANZ,2.898
ANZ,2172,2.936
2172,ANZ,2.936
ANZ,2173,2.974
2173,ANZ,2.974
ANZ,2174,3.012
2174,ANZ,3.012
ANZ,2175,3.05
2175,ANZ,3.05
ANZ,2176,3.088
2176,ANZ,3.088
ANZ,2177,3.126
2177,ANZ,3.126
ANZ,2178,3.164
2178,ANZ,3.164
ANZ,2179,3.202
2179,ANZ,3.202
ANZ,2180,3.24
2180,ANZ,3.24
ANZ,2181,3.278
2181,ANZ,3.278
ANZ,2182,3.316
2182,ANZ,3.316
